movie_id,Genre
477,Crime
477,Drama
477,Mystery
477,Thriller
478,Animation
478,Crime
478,Horror
478,Mystery
478,Thriller
479,Action
479,Crime
479,Thriller
480,Action
480,Crime
481,Adventure
481,Drama
481,Sci-Fi
481,Thriller
482,Crime
482,Drama
482,Thriller
483,Drama
484,Horror
485,Comedy
485,Drama
485,Family
486,Adventure
486,Drama
486,Horror
486,Mystery
486,Sci-Fi
486,Thriller
487,Comedy
487,Family
489,Drama
490,Comedy
491,Drama
491,Mystery
492,Drama
493,Fantasy
493,Mystery
493,Romance
494,Comedy
495,Drama
497,Comedy
498,Short
498,Action
498,Adventure
498,Fantasy
499,Action
499,Fantasy
499,Sci-Fi
500,Drama
500,War
501,Animation
501,Action
501,Sci-Fi
502,Biography
502,Crime
502,Drama
503,Drama
503,Family
504,Animation
504,Family
505,Romance
505,Drama
505,Mystery
506,Drama
506,Romance
507,Thriller
508,Action
508,Crime
508,Drama
508,Thriller
509,Comedy
510,Drama
510,Romance
511,Drama
512,Reality-TV
513,Biography
513,Drama
513,Romance
514,Crime
514,Drama
514,Thriller
515,Thriller
516,Drama
516,Mystery
516,Thriller
517,Action
517,Adventure
517,Horror
517,Sci-Fi
517,Thriller
518,Drama
518,Fantasy
518,Mystery
518,Thriller
519,Animation
519,Adventure
519,Comedy
519,Family
520,Animation
520,Action
520,Comedy
520,Sci-Fi
521,Animation
521,Action
521,Comedy
521,Sci-Fi
522,Action
522,Comedy
523,Drama
524,Action
524,Adventure
524,Drama
524,Horror
524,Thriller
525,Drama
525,Romance
526,Comedy
527,Comedy
527,Drama
528,Comedy
528,Romance
529,Action
529,Drama
529,Romance
530,Documentary
532,Animation
532,Action
532,Comedy
532,Family
532,Sci-Fi
533,Comedy
533,Romance
534,Comedy
534,Crime
534,Drama
534,Thriller
535,Documentary
535,Animation
535,Biography
535,Comedy
536,Documentary
537,Comedy
538,Documentary
539,Documentary
540,Documentary
541,Comedy
541,Romance
542,Comedy
543,Animation
543,Action
543,Adventure
543,Comedy
543,Sci-Fi
544,Drama
544,Fantasy
544,Sci-Fi
544,Thriller
545,Drama
545,Romance
546,Drama
546,Romance
547,Drama
547,Family
548,Comedy
548,Drama
550,Comedy
550,Crime
551,Drama
552,Drama
553,Game-Show
553,Reality-TV
554,Comedy
554,Drama
554,Romance
555,Action
555,Adventure
555,Drama
555,War
556,Animation
557,Drama
558,Mystery
559,Comedy
559,Horror
559,Mystery
559,Sci-Fi
560,Family
560,Fantasy
560,Music
561,Comedy
561,Drama
561,Music
561,Romance
562,Animation
562,Adventure
562,Comedy
562,Family
562,Fantasy
563,Comedy
563,Drama
564,Animation
564,Family
565,Drama
565,Romance
566,Documentary
566,Music
567,Action
567,Comedy
567,Crime
568,Sci-Fi
570,Horror
571,Drama
573,Drama
573,Horror
573,Mystery
573,Sci-Fi
573,Thriller
574,Documentary
575,Drama
575,Adventure
576,Comedy
576,Drama
576,Family
577,Drama
578,Drama
579,Drama
579,Music
579,Romance
580,Comedy
581,Comedy
581,Drama
582,Action
582,Drama
582,Thriller
583,Comedy
584,Comedy
585,Adventure
585,Comedy
585,Drama
585,Romance
586,Comedy
586,Romance
587,Drama
587,Fantasy
587,Romance
587,Sci-Fi
589,Action
589,Sci-Fi
589,Thriller
590,Drama
591,Thriller
592,Comedy
592,Drama
593,Crime
593,Drama
593,Mystery
594,Comedy
595,Comedy
595,Family
595,Fantasy
596,Action
596,Comedy
597,Drama
597,Horror
597,Thriller
598,Documentary
598,Reality-TV
599,Adventure
599,Comedy
599,Family
600,Reality-TV
601,Biography
601,Drama
602,Comedy
604,Documentary
605,Action
605,Adventure
605,Comedy
605,Crime
605,Thriller
606,Comedy
606,Music
607,Comedy
608,Comedy
609,Documentary
609,History
610,Comedy
611,Comedy
611,Horror
611,Mystery
611,Thriller
613,Drama
614,Drama
615,Biography
615,Drama
616,Drama
618,Biography
618,Crime
618,Drama
619,Drama
619,Mystery
619,Thriller
620,Adventure
620,Comedy
621,Comedy
621,Drama
621,Romance
622,Action
622,Drama
622,Horror
623,Family
624,Comedy
625,Comedy
625,Romance
626,Comedy
626,Drama
626,Romance
627,Horror
628,Comedy
628,Sport
629,Animation
629,Comedy
630,Drama
631,Game-Show
631,Reality-TV
631,Sport
632,Comedy
633,Short
633,Drama
633,Thriller
634,Drama
634,Music
634,Romance
635,Thriller
636,Comedy
636,Drama
638,Drama
638,Sci-Fi
639,Short
640,Horror
641,Drama
641,Horror
641,Mystery
641,Thriller
642,Drama
642,History
642,War
643,Drama
644,Drama
644,Romance
645,Comedy
645,Romance
646,Action
646,Drama
646,Sport
647,Crime
647,Drama
647,Romance
647,Thriller
648,Adventure
648,Comedy
648,Fantasy
648,Western
649,Comedy
650,Adventure
650,Comedy
651,Comedy
651,Drama
652,Drama
653,Comedy
654,Drama
655,Drama
655,Short
657,Comedy
657,Crime
658,Comedy
659,Drama
659,Romance
660,Drama
660,Thriller
661,Comedy
661,Romance
662,Drama
662,History
663,Comedy
663,Fantasy
663,Music
663,Sci-Fi
664,Action
664,Crime
664,Thriller
665,Adventure
665,Drama
665,Romance
666,Comedy
667,Crime
668,Adventure
668,Family
668,Fantasy
669,Comedy
669,Drama
670,Drama
670,Music
671,Comedy
671,Crime
672,Documentary
672,History
673,Mystery
673,Thriller
674,Comedy
674,Drama
675,Documentary
675,Biography
675,Comedy
676,Comedy
676,Family
677,Comedy
677,Drama
678,Biography
678,Drama
678,Family
678,Music
679,Animation
679,Drama
679,Family
679,Fantasy
680,Action
680,Adventure
680,Fantasy
680,Romance
681,Comedy
681,Drama
681,Musical
683,Drama
683,Fantasy
683,Sci-Fi
683,Thriller
684,Action
685,Romance
685,Drama
686,Game-Show
687,Adventure
687,Comedy
688,News
688,Talk-Show
689,Short
689,Comedy
689,Sport
691,Romance
694,Drama
694,Action
694,Family
695,Short
695,Comedy
695,Sport
696,Biography
696,Crime
696,Drama
697,Adventure
697,Comedy
697,Drama
698,Action
698,Thriller
699,Horror
700,Action
700,Crime
701,Comedy
